Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12432_HFKW2BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_081912.1.fna	100.0000	100.0000	99.92	0.429	98.99-101.17	0.429	0.26-0.61	1	1.310	145/418	96.64	0	NC_081912.1 Chenopodium petiolare chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12463_H3VCKBCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_050962.1.fna	100.0000	100.0000	99.54	0.130	96.88-100.28	0.130	0.11-0.29	1	1.061	49/453	93.08	0	NC_050962.1 Fosbergia shweliensis chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12495_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_024036.1.fna	100.0000	100.0000	100.00	1.518	99.80-100.28	1.518	1.26-1.85	2	2.070	431/537	99.29	0	NC_024036.1 Trifolium repens plastid, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12568_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_082588.1.fna	100.0000	100.0000	99.04	0.163	96.80-100.48	0.163	0.11-0.33	1	1.111	54/473	93.24	0	NC_082588.1 Hydrocotyle sibthorpioides var. batrachium chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12578_H3VCKBCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_059825.1.fna	100.0000	100.0000	100.00	0.118	97.68-101.12	0.118	0.10-0.25	1	1.056	54/416	93.63	0	NC_059825.1 Schizachyrium delavayi voucher K:5236 chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/14187_HCN77BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_081874.1.fna	100.0000	100.0000	100.00	0.109	98.06-101.29	0.109	0.10-0.23	1	1.085	59/450	93.66	0	NC_081874.1 Drummondita fulva isolate A. Markey 6212 voucher MELUD105908a chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/14185_HCN77BCXX-2_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_034985.1.fna	100.0000	100.0000	99.74	0.229	98.19-102.10	0.229	0.10-0.40	1	1.139	79/411	94.82	0	NC_034985.1 Acacia dealbata chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/19455_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_061360.1.fna	100.0000	100.0000	99.39	0.203	97.44-101.57	0.203	0.10-0.38	1	1.121	66/425	94.17	0	NC_061360.1 Crepis rigescens chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/401600_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_022381.1.fna	100.0000	100.0000	100.00	0.137	98.66-102.53	0.137	0.07-0.24	1	1.113	80/493	94.30	0	NC_022381.1 Eucalyptus verrucata chloroplast, complete genome
/scratch/alpine/clbd1748/Australia_copy/QC_reads/7827_H3VCKBCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/chloroplasts/NC_022386.1.fna	100.0000	100.0000	100.00	0.248	100.13-102.76	0.248	0.14-0.36	1	1.193	161/488	96.49	0	NC_022386.1 Eucalyptus regnans chloroplast, complete genome
