Sample	Genome	Coverage	Bases
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	0	4287907
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	1	559423
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	2	304551
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	3	185190
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	4	124656
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	5	88483
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	6	63754
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	7	49071
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	8	35887
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	9	29086
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	10	22365
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	11	16564
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	12	12840
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	13	10008
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	14	7640
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	15	6274
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	16	4897
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	17	3336
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	18	2961
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	19	2162
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	20	1607
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	21	1281
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	22	1003
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	23	937
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	24	905
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	25	595
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	26	606
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	27	542
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	28	416
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	29	491
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	30	451
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	31	407
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	32	349
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	33	279
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	34	258
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	35	269
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	36	250
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	37	170
