Sample	Genome	Coverage	Bases
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	0	990343
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	1	403429
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	2	332377
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	3	286322
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	4	245094
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	5	211390
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	6	175884
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	7	137930
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	8	111934
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	9	85332
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	10	63308
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	11	45152
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	12	31550
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	13	21274
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	14	15129
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	15	9984
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	16	7218
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	17	5033
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	18	3726
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	19	3072
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	20	2220
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	21	1859
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	22	1463
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	23	1229
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	24	1064
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	25	833
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	26	757
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	27	544
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	28	435
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	29	329
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	30	244
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	31	314
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	32	272
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	33	264
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	34	277
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	35	223
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	36	159
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	37	148
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	38	163
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	39	149
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	40	137
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	41	92
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	42	80
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	43	85
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	44	72
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	45	77
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	46	75
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	47	39
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	48	49
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	49	38
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	50	36
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	51	37
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	52	44
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	53	41
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	54	36
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	55	51
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	56	57
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	57	35
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	58	22
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	59	30
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	60	14
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	61	51
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	62	44
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	63	49
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	64	49
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	65	45
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	66	31
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	67	28
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	68	48
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	69	16
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	70	28
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	71	28
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	72	27
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	73	29
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	74	32
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	75	17
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	76	22
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	77	45
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	78	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	79	27
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	80	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	81	14
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	82	14
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	83	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	84	7
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	85	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	86	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	87	10
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	88	8
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	89	3
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	90	7
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	91	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	92	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	93	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	94	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	95	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	96	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	97	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	98	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	99	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	100	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	101	10
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	102	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	103	5
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	104	8
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	105	10
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	106	21
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	107	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	108	13
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	109	13
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	110	8
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	111	3
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	112	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	113	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	114	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	115	5
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	116	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	117	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	118	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	119	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	120	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	121	5
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	122	15
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	123	13
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	124	3
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	125	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	126	3
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	127	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	128	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	129	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	130	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	131	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	132	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	133	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	134	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	135	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	136	6
